      3.7 0.0404804 0.0411157  0.124264  0.165939  0.181118  0.186345  0.223862  0.232068  0.253041  0.273655  0.282231  0.298812  0.340457  0.342013  0.391891  0.401116  0.401297  0.452538  0.452553  0.497749   0.49775  0.538647  0.538647  0.576129  0.576129   0.61069   0.61069  0.642648   0.64265  0.672214  0.672563  0.699512
      3.8 0.0466687 0.0491289 0.0982884  0.131603   0.18736  0.192715  0.215014  0.229987  0.247725   0.25891  0.269157  0.301398  0.322845   0.32326  0.325269  0.383696  0.383948  0.435307  0.435329  0.480773  0.480775  0.522051  0.522051  0.560043  0.560043  0.595224  0.595224  0.627883  0.627883  0.658204  0.658208  0.686288
      3.9 0.0524173 0.0563204 0.0768749  0.102831  0.194393  0.199848  0.207375  0.226837  0.243799  0.245303  0.257413  0.290374  0.302354   0.30686  0.309418  0.366857  0.367203  0.418558   0.41859  0.464188   0.46419  0.505751  0.505751  0.544166  0.544166  0.579889  0.579889  0.613184  0.613184  0.644207  0.644208  0.673035
        4 0.0577602 0.0594332 0.0628371 0.0790103  0.200868  0.202693  0.208211  0.221249  0.232801  0.241187  0.246966  0.271348  0.291269  0.294484   0.29977  0.350604  0.351071  0.402302  0.402349  0.448011  0.448015  0.489769  0.489769  0.528521  0.528521  0.564711  0.564711  0.598575  0.598575  0.630246  0.630246  0.659773
      4.1  0.045341 0.0593802 0.0627593 0.0688111  0.195418  0.211762  0.213035  0.218564  0.221363  0.237776  0.239809   0.25814  0.276492  0.280485  0.291496   0.33494  0.335562  0.386545  0.386612  0.432257  0.432262  0.474125  0.474125  0.513132  0.513132  0.549712  0.549712  0.584081  0.584081  0.616342  0.616342  0.646523
      4.2 0.0341155 0.0432714 0.0674823 0.0743577  0.190944  0.197429  0.210945  0.226804  0.229795  0.232247  0.239578  0.247812  0.262532  0.267433  0.275938  0.319867  0.320687  0.371289  0.371383  0.416936  0.416944  0.458837  0.458837   0.49802   0.49802  0.534916  0.534916  0.569721  0.569721  0.602516  0.602516  0.633301
      4.3 0.0255143 0.0302513 0.0719964 0.0795785  0.178511  0.187347  0.201499  0.222976  0.239066  0.240386  0.246731  0.249385  0.251887  0.253079  0.255333  0.305385  0.306451  0.356534  0.356663  0.402055  0.402066  0.443917  0.443918    0.4832    0.4832   0.52034   0.52034  0.555516  0.555516  0.588787  0.588787  0.620128
      4.4 0.0196232 0.0203553 0.0763678 0.0845658  0.156602    0.1845  0.192979  0.217266  0.224845  0.231261  0.237042  0.242078  0.244186  0.278997  0.283386  0.291493  0.292863  0.342275  0.342452  0.387617  0.387634  0.429378  0.429379   0.46869   0.46869  0.506004  0.506004  0.541486  0.541486  0.575173  0.575173   0.60702
      4.5 0.0146186 0.0167713  0.080663 0.0894067  0.133921  0.182218  0.185336  0.194288  0.212614  0.224054   0.22549  0.233986  0.244417   0.27819  0.279931  0.328508  0.328748  0.340477  0.342745  0.373624  0.373648  0.415226  0.415227  0.454502  0.454502  0.491922  0.491922  0.527646  0.527646  0.561693  0.561693  0.593994
      4.6  0.014534 0.0168782  0.084952 0.0941886  0.112372  0.164262  0.178524  0.180231  0.208971  0.214712  0.217245  0.224723  0.247031  0.265473   0.26766  0.315226  0.315547  0.360074  0.360108  0.401466  0.401469  0.440645  0.440645  0.478109  0.478109  0.483816  0.488283  0.514013  0.514013  0.548362  0.548362  0.581067
